album_id,album_date_released,album_engineer,album_favorites,album_listens,album_producer,album_title,album_tracks,album_type,album_url,artist_name
10049,5/15/2015,,4,121760,,The Dark Glow of the Mountains,5,Album,http://freemusicarchive.org/music/Chris_Zabriskie/The_Dark_Glow_of_the_Mountains/,Chris Zabriskie
1005,11/16/2008,Mark Triant,2,2337,,Live at wfmu on Dan Bodah's Show on 11/16/2008,11,Radio Program,http://freemusicarchive.org/music/Larkin_Grimm/Live_at_wfmu_on_Dan_Bodahs_Show_on_11162008/,Larkin Grimm
10050,3/10/2009,,13,283573,,I Am a Man Who Will Fight for Your Honor,7,Album,http://freemusicarchive.org/music/Chris_Zabriskie/I_Am_a_Man_Who_Will_Fight_for_Your_Honor/,Chris Zabriskie
10051,10/11/2011,,1,2992,,Growing Over,1,Album,http://freemusicarchive.org/music/Sex_Church/Growing_Over/,Sex Church
10052,9/22/2009,,25,1013245,,Preludes,23,Album,http://freemusicarchive.org/music/Chris_Zabriskie/Preludes/,Chris Zabriskie
10053,8/10/2010,,10,615353,,Vendaface,5,Album,http://freemusicarchive.org/music/Chris_Zabriskie/Vendaface/,Chris Zabriskie
10057,1/13/2011,,4,137744,,Stunt Island,4,Album,http://freemusicarchive.org/music/Chris_Zabriskie/Stunt_Island/,Chris Zabriskie
10058,7/18/2011,,21,575418,,Divider,6,Album,http://freemusicarchive.org/music/Chris_Zabriskie/Divider/,Chris Zabriskie
1006,11/10/2008,Irene Trudel,0,845,Irene Trudel,Live at WFMU on Irene Trudel's Show on 11/10/2008,4,Live Performance,http://freemusicarchive.org/music/Micah_Blue_Smaldone/Live_at_WFMU_on_Irene_Trudels_Show_on_11102008/,Micah Blue Smaldone
10061,,,1,6725,,"Life On Earth is Pure and Golden, Life on Earth is Hell on Earth",10,Album,http://freemusicarchive.org/music/Sam_Gas_Can/Life_On_Earth_is_Pure_and_Golden_Life_on_Earth_is_Hell_on_Earth/,Sam Gas Can
10062,5/24/2011,,5,19639,,EP One,5,Album,http://freemusicarchive.org/music/The_Easton_Ellises/EP_One/,The Easton Ellises
10064,9/12/2011,,0,4313,,Beach Flats,3,Album,http://freemusicarchive.org/music/Nineteen_Eight_Eight/Bad_Panda_99/,Nineteen Eight Eight
10065,9/12/2011,Kevin Busby,0,1305,Kevin Busby,The Elements Inside Two Circles,4,Live Performance,http://freemusicarchive.org/music/Black_Forest_Orchestra/The_Elements_Inside_Two_Circles/,Black Forest Orchestra
10066,9/16/2011,,1,4246,,Birds and Bats,4,Album,http://freemusicarchive.org/music/Louis_Minus_Seize/Birds_and_Bats/,Louis Minus Seize
10067,9/16/2011,,0,2133,,Freedom as mama told me,15,Album,http://freemusicarchive.org/music/Asian_Women_on_the_Telephone/Freedom_as_mama_told_me_1114/,Asian Women on the Telephone
10068,,,0,1481,,la Magie d internet,1,Album,http://freemusicarchive.org/music/Ultra_Kabron/la_Magie_d_internet/,Ultra Kabron
10069,9/17/2011,,1,8884,,Go On,2,Album,http://freemusicarchive.org/music/Morgan_Sadler/Go_On/,Morgan Sadler
1007,11/18/2008,Gil Schuster,0,2932,Brian Turner,Hank IV Live at WFMU on Brian's Show on 11/18/2008,12,Radio Program,http://freemusicarchive.org/music/Hank_IV/Hank_IV_Live_at_WFMU_on_Brians_Show_on_11182008/,Hank IV
10070,,,0,2555,,Life-Size Cut-Out,4,,http://freemusicarchive.org/music/Harpoon_Forever/Life-Size_Cut-Out/,Harpoon Forever
10071,,,0,656,,Look Forward to Nothing,2,Album,http://freemusicarchive.org/music/Kitchens_Floor/Look_Forward_to_Nothing/,Kitchen's Floor
10073,,,0,1302,,A solar rush towards a treble heaven,1,Album,http://freemusicarchive.org/music/Scattered_Order/A_solar_rush_towards_a_treble_heaven/,Scattered Order
10074,,,0,815,,OLD DEMO NEW MIX,1,Album,http://freemusicarchive.org/music/Rat_King/OLD_DEMO_NEW_MIX/,Rat King
10075,9/18/2011,,0,7015,,Ergo's Disco Van Dango,6,Album,http://freemusicarchive.org/music/Ergo_Phizmiz/Ergos_Disco_Van_Dango/,Ergo Phizmiz
10076,10/06/2006,,1,6507,,Digital Primitives,3,Album,http://freemusicarchive.org/music/Digital_Primitives/Digital_Primitives/,Digital Primitives
10077,8/06/2003,,2,10769,,America,3,Album,http://freemusicarchive.org/music/Digital_Primitives/America/,Digital Primitives
10078,1/01/2006,,0,2093,,Sea Of Lead,3,Album,http://freemusicarchive.org/music/Agusti_Fernandez/Sea_Of_Lead/,Agusti Fernandez
10080,9/13/2011,,0,96761,,Chaotic-Life-Fin,9,Album,http://freemusicarchive.org/music/Balogh/Chaotic-Life-Fin/,Jared C. Balogh
10083,,,0,502,,Live - May 2011,1,Album,http://freemusicarchive.org/music/Mondo_Phase_Band/Live_-_May_2011/,Mondo Phase Band
10084,,,0,762,,Rabbits In Space,1,Album,http://freemusicarchive.org/music/Furchick/Rabbits_In_Space/,Furchick
10085,,,0,455,,Ladyz In Noyz Australia Volume 1,1,Album,http://freemusicarchive.org/music/onion/Ladyz_In_Noyz_Australia_Volume_1/,onion
10086,,,0,1512,,Suddenly Ur In My Heart (Single),1,Album,http://freemusicarchive.org/music/Scraps/Suddenly_Ur_In_My_Heart_Single/,Scraps
10087,,,0,654,,Life It's A Party (Single),1,Album,http://freemusicarchive.org/music/Chrome_Dome/Life_Its_A_Party_Single/,Chrome Dome
10088,,,0,2365,,Live at ISSUE 4/27/11,4,Live Performance,http://freemusicarchive.org/music/Okkyung_Lee_with_Tom_Rainey_Liberty_Ellman_and_Skuli_Sverrisson/Live_at_ISSUE_42711/,"Okkyung Lee with Tom Rainey, Liberty Ellman, and Skuli Sverrisson"
10089,,,0,567,,Ground Foot,1,Album,http://freemusicarchive.org/music/Caught_Ship/Ground_Foot/,Caught Ship
10090,,,0,778,,Sweet Grillz Split,1,Album,http://freemusicarchive.org/music/Bare_Grillz/Sweet_Grillz_Split/,Bare Grillz
10091,9/19/2011,,2,7442,,Vaporous Weeks,16,Album,http://freemusicarchive.org/music/Dissolved/Vaporous_Weeks/,Dissolved
10094,5/12/2011,,0,554,,Dead Excitement EP,1,Album,http://freemusicarchive.org/music/Cotus_Int/Dead_Excitement_EP/,Coïtus Int.
10095,,,0,2015,,Live at Bottom of the Hill 8/22/2011,15,Live Performance,http://freemusicarchive.org/music/Obits/Live_at_Bottom_of_the_Hill_8222011/,Obits
10096,,,0,153,,Live at NSC,1,Album,http://freemusicarchive.org/music/Superstar/Live_AT_NSC/,Superstar
10097,,,0,461,,Too Nugged To Drunk,1,Album,http://freemusicarchive.org/music/The_Nugs/Too_Nugged_To_Drunk/,The Nugs
10098,,,0,172,,Isvolt,1,Album,http://freemusicarchive.org/music/HORSE_MACGYVER/Isvolt/,HORSE MACGYVER
101,1/01/2007,,0,2180,,Wooden Lake Sexual Diner,3,Album,http://freemusicarchive.org/music/Bird_Names/Wooden_Lake_Sexual_Diner/,Bird Names
10100,10/11/2011,,2,336,,Clandestine Cassette Series # Two,1,Album,http://freemusicarchive.org/music/Nonhorse/Clandestine_Cassette_Series__Two_1689/,Nonhorse
10101,8/16/2011,,1,1601,,The Bridge (Featuring Sleaze),5,Album,http://freemusicarchive.org/music/Just_Plain_Ant/The_Bridge_Featuring_Sleaze/,Just Plain Ant
10104,9/13/2011,,2,395,,Nothing Begets Nothing EP,4,Album,http://freemusicarchive.org/music/Just_Plain_Ant/Nothing_Begets_Nothing_EP/,Just Plain Ant
10105,9/06/2011,,1,4053,,[albumtitle],15,Album,http://freemusicarchive.org/music/Just_Plain_Ant/albumtitle/,Just Plain Ant
10106,10/11/2011,,0,743,,Silent Partner,1,Album,http://freemusicarchive.org/music/Neptune/Silent_Partner/,Neptune
10108,,,1,656,,Eleven Twenty-Nine,1,Album,http://freemusicarchive.org/music/Eleven_Twenty-Nine/Eleven_Twenty-Nine/,Eleven Twenty-Nine
10109,,,2,1929,,Outdoor Spell,2,Album,http://freemusicarchive.org/music/Rhys_Chatham/Outdoor_Spell/,Rhys Chatham
1011,11/01/2003,Diane Farris,0,2025,Terre T,Live at WFMU on Terre T's Show on 11/1/2003,25,Live Performance,http://freemusicarchive.org/music/Measles_Mumps_Rubella/Live_at_WFMU_on_Terre_Ts_Show_on_1112003/,Measles Mumps Rubella
10112,9/19/2011,,2,24000,,Bad Panda #100,1,Album,http://freemusicarchive.org/music/Handbook/Bad_Panda_100/,Handbook
10113,9/21/2011,,0,66840,,Dissembler,12,Album,http://freemusicarchive.org/music/alright_lover/Dissembler/,alright lover
10114,,,0,4493,,Live at The Satellite 8/24/2011,16,Live Performance,http://freemusicarchive.org/music/Obits/Live_at_The_Satellite_8242011/,Obits
10115,9/05/2011,Diane Farris and Irene Trudel,3,7144,Irene Trudel,"Live at WFMU on Irene Trudel's Show on September 5, 2011",8,Radio Program,http://freemusicarchive.org/music/Yair_Yona/Live_at_WFMU_on_Irene_Trudels_Show_on_September_5_2011/,Yair Yona
10116,7/01/2009,,1,1849,,S/T,1,Album,http://freemusicarchive.org/music/WOMAN/ST_1997/,WOMAN
10117,9/16/2011,Ernie Indradat,0,3317,Scott McDowell,"Live at WFMU on The Long Rally with Scott McDowell on September 16, 2011",4,Radio Program,http://freemusicarchive.org/music/Hans_Chew/Live_at_WFMU_on_Scott_McDowells_Show_on_September_16_2011/,Hans Chew
10118,9/20/2011,Dave Mambach,0,3503,Scott McDowell,"Live at WFMU on Marty McSorley's Show on September 20, 2011",9,Radio Program,http://freemusicarchive.org/music/No_Babies/Live_at_WFMU_on_Marty_McSorleys_Show_on_September_20_2011/,No Babies
10119,9/13/2011,Ernie Indradat,0,1699,Marty McSorley,"Live at WFMU on Marty McSorley's Show on September 13, 2011",8,Radio Program,http://freemusicarchive.org/music/High_Castle/Live_at_WFMU_on_Marty_McSorleys_Show_on_September_13_2011/,High Castle
10120,,,0,1205,,Blonde Kid (Demo),1,Album,http://freemusicarchive.org/music/Mere_Women/Blonde_Kid_Demo/,Mere Women
10121,,,0,458,,Siberia Flexi Postcard,1,Album,http://freemusicarchive.org/music/Kirin_J_Callinan/Siberia_Flexi_Postcard/,Kirin J Callinan
10123,9/24/2011,,0,9713,,Unusable Signal (Reissue),16,Album,http://freemusicarchive.org/music/Pilesar/Unusable_Signal_Reissue/,Pilesar
10124,5/05/2011,,1,12446,,Hunted Like A Ghost Machine,15,Album,http://freemusicarchive.org/music/happiness_in_aeroplanes/Hunted_Like_A_Ghost_Machine/,happiness in aeroplanes
10125,,,3,149962,,Another Position EP,6,Album,http://freemusicarchive.org/music/Morphamish/Another_Position_EP/,Morphamish
10126,,,1,1085,,Provocateur,4,Album,http://freemusicarchive.org/music/Opul/Provocateur/,Opul
10127,,,6,79376,,Blue,11,Album,http://freemusicarchive.org/music/Mark_Neil/Blue_1922/,Mark Neil
10128,,,1,5189,,El VALS MEFISTO,3,Album,http://freemusicarchive.org/music/San_Pedro_El_Cortez/El_VALS_MEFISTO/,San Pedro El Cortez
10129,9/25/2011,,0,4658,Benji Cossa,Favorites 01: Sebastian Blanck,10,Album,http://freemusicarchive.org/music/Benji_Cossa/Favorites_01_Sebastian_Blanck/,Benji Cossa
10131,,,0,2180,,la sieste de l aprés midi,7,Album,http://freemusicarchive.org/music/Efa_Hfaille/la_sieste_de_l_aprs_midi/,Efaï Héfaille
10132,5/27/2011,,0,377,,Demo - Live 5.12.11,5,Album,http://freemusicarchive.org/music/Cellular_Chaos/Demo_-_Live_51211/,Cellular Chaos
10133,9/22/2011,Jason Sigal,3,2705,Jason Sigal,"Live at WFMU on Talk's Cheap with Jason Sigal September 22, 2011",9,Radio Program,http://freemusicarchive.org/music/The_German_Measles/Live_at_WFMU_on_Talks_Cheap_with_Jason_Sigel_September_22_2011/,The German Measles
10134,9/04/2011,Glenn Luttman,3,19297,,"Live at WFMU on Gaylord Fields' Show September 4, 2011",6,Radio Program,http://freemusicarchive.org/music/Bandana_Splits/Live_at_WFMU_on_Gaylord_Fields_Show_September_4_2011/,Bandana Splits
10135,6/21/2011,,2,18064,JB Lawrence,People and Places,8,Album,http://freemusicarchive.org/music/F_L_T_R_S_K/People_and_Places/,FLT RSK
10136,9/27/2011,,0,2515,,WHNZ:32:ABRAMÁLAGA,8,Album,http://freemusicarchive.org/music/_vlub_/WHNZ32ABRAMLAGA/,((( vlubä )))
10138,9/27/2011,Tony Higgins,3,39825,Tony Higgins,Ray - A Life Underwater,9,Album,http://freemusicarchive.org/music/junior85/Ray_-_A_Life_Underwater/,junior85
10139,9/04/2011,Ernie Indradat,0,5271,,"Live at WFMU on Gaylord Fields' Show September 4, 2011",6,Radio Program,http://freemusicarchive.org/music/Ivy/Live_at_WFMU_on_Gaylord_Fields_Show_September_4_2011_1631/,Ivy
10140,9/21/2011,Ernie Indradat,1,11186,Irwin Chusid,"Live at WFMU on Irwin's Show September 21, 2011",18,Radio Program,http://freemusicarchive.org/music/Mike_Doughty/Live_at_WFMU_on_Irwins_Show_September_21_2011/,Mike Doughty
10145,1/01/2005,,0,1263,,Lost brother,3,Album,http://freemusicarchive.org/music/Digital_Primitives/Lost_brother/,Digital Primitives
10146,8/31/2011,,0,1774,Keili,"Live at WFMU on Beastin' The Airwaves with Keili on August 31, 2011",18,Radio Program,http://freemusicarchive.org/music/Abstract_Artimus/Live_at_WFMU_on_Beastin_The_Airwaves_with_Keili_on_August_31_2011/,Abstract Artimus
10148,9/27/2011,Dave Mambach,0,2510,Marty McSorley,"Live at WFMU on Marty McSorley's Show on September 27, 2011",6,Radio Program,http://freemusicarchive.org/music/Whitman/Live_at_WFMU_on_Marty_McSorleys_Show_on_September_27_2011/,Whitman
10150,10/01/2011,,1,1247,,"""Sex Drive"" b/w ""Patio Set"" 7""",1,Album,http://freemusicarchive.org/music/The_Embarrassment/Sex_Drive_bw_Patio_Set_7/,The Embarrassment
10153,7/12/2011,,1,2869,,Somewhere In Detroit,1,Live Performance,http://freemusicarchive.org/music/Telegraphy/Somewhere_In_Detroit/,Telegraphy
10155,8/23/2011,,3,4151,,Tripping through runtime,8,Album,http://freemusicarchive.org/music/Valentina_Vuksic/Tripping_through_runtime/,Valentina Vuksic
10160,,,0,1142,,L' Hémission de radio avec Hendrik & Hegray,1,Album,http://freemusicarchive.org/music/Sobak_Morbak/L_Hmission_de_radio_avec_Hendrik__Hegray/,Sobak Morbak
10161,9/27/2011,,1,619,,a theory of possible utterance,4,Album,http://freemusicarchive.org/music/Alfredo_Costa_Monteiro__Tim_Olive/a_theory_of_possible_utterance/,Alfredo Costa Monteiro & Tim Olive
10162,9/29/2011,,0,1189,,Rehearsal in Jogja,2,Album,http://freemusicarchive.org/music/Malaikat_Dan_Singa/Rehearsal_in_Jogja/,Malaikat Dan Singa
10164,9/26/2011,,0,3999,,Bad Panda #101,3,Album,http://freemusicarchive.org/music/Steven_Smirney/Bad_Panda_101/,Steven Smirney
10165,1/29/2010,Richard Sudney,0,3336,Richard Sudney,Telegraphy E.P.,4,Album,http://freemusicarchive.org/music/Telegraphy/Telegraphy_EP/,Telegraphy
10167,10/01/2011,,1,1777,,"October 2011 Virtual Tour 7""",4,Album,http://freemusicarchive.org/music/Lame_Drivers/Virtual_Oct2011_Tour_7/,Lame Drivers
10170,1/01/2009,,1,41650,,Hum crackle & pop,3,Album,http://freemusicarchive.org/music/Digital_Primitives/Hum_crackle__pop/,Digital Primitives
10171,1/01/2005,,0,5680,,tells untold,3,Album,http://freemusicarchive.org/music/Digital_Primitives/tells_untold/,Digital Primitives
10174,9/19/2011,,2,40338,,Diagnosis: Success,24,Album,http://freemusicarchive.org/music/K_Sparks/Diagnosis_Success/,K. Sparks
10176,,,1,2495,,+ruidos+piano,3,Album,http://freemusicarchive.org/music/MalAVentura2/ruidospiano_1731/,Mal(A.Ventura)2
10178,1/01/2000,,0,6176,,Deep In The Neighborhood Of History And Influence,5,Album,http://freemusicarchive.org/music/Cooper-Moore/Deep_In_The_Neighborhood_Of_History_And_Influence/,Cooper-Moore
10179,1/01/2006,,0,8440,,Outtakes 1978,3,Album,http://freemusicarchive.org/music/Cooper-Moore/Outtakes_1978/,Cooper-Moore
10180,,,0,775,,"Live at Cafe OTO, 18 October 2010",1,Live Performance,http://freemusicarchive.org/music/chris/Live_at_Cafe_OTO_18_October_2010/,Chris Forsyth
10182,,,1,13156,,Solo Dja Kabaco,4,Album,http://freemusicarchive.org/music/FESTU/Solo_Dja_Kabako/,FESTI 40 music festival
10185,,,0,826,,PRESS RECORD,25,Album,http://freemusicarchive.org/music/DC9V/PRESS_RECORD/,DC9V
10187,10/01/2011,,2,18404,,Sleepwalkers Walk Alone,6,Album,http://freemusicarchive.org/music/Manuele_Atzeni/Sleepwalkers_Walk_Alone/,Manuele Atzeni
10188,10/03/2011,,0,7863,,Dans Les Terres,11,Album,http://freemusicarchive.org/music/Syndrm/Dans_Les_Terres/,Syndrôm
10189,,,0,5898,,In My House,5,Album,http://freemusicarchive.org/music/Audio_K/In_My_House/,Audio K
10190,,,0,907,,Ten Thousand Hours,1,,http://freemusicarchive.org/music/Elliott_Sharp/Ten_Thousand_Hours/,Elliott Sharp
10191,8/25/2011,,0,18170,,Dub Lab,8,Album,http://freemusicarchive.org/music/DuBoLoGy/Dub_Lab/,DuBoLoGy
10192,9/28/2011,,0,6285,,Life is inna riddim,8,Album,http://freemusicarchive.org/music/Friglob/Life_is_inna_riddim/,Friglob
10193,4/29/2011,,2,18104,,A thousand furious bees,11,Album,http://freemusicarchive.org/music/Mister_Beep/A_thousand_furious_bees/,Mister Beep
10194,,,0,2176,,Urban Assault Vehicle,2,Album,http://freemusicarchive.org/music/Joe_McPhee_with_Roy_Campbell_Joe_Giardullo_Dominic_Duval_Mike_Bisio_Jay_Rosen/Urban_Assault_Vehicle/,"Joe McPhee with Roy Campbell, Joe Giardullo, Dominic Duval, Mike Bisio, Jay Rosen"
10195,,,0,2313,,Composition No. 183,1,Album,http://freemusicarchive.org/music/Anthony_Braxton/Composition_No_183/,Anthony Braxton
10196,10/04/2011,Tony Higgins,1,3262,Tony Higgins,Directed Numbers [noise],7,,http://freemusicarchive.org/music/junior85/Directed_Numbers/,junior85
10198,,,5,11637,Mike McCarthy,Don't Let Your Baby Have All the Fun,26,Album,http://freemusicarchive.org/music/The_Sun/Dont_Let_Your_Baby_Have_All_the_Fun/,The Sun
10199,,,0,1378,,Psychedellic Saturday,1,Album,http://freemusicarchive.org/music/Where_the_Moon_Came_From/Psychedellic_Saturday/,Where the Moon Came From
102,1/08/2009,,1,4418,,Black Elk,3,Single Tracks,http://freemusicarchive.org/music/Black_Elk/Black_Elk/,Black Elk
10200,,,2,9539,,Twin of Pangaea,7,Album,http://freemusicarchive.org/music/Where_the_Moon_Came_From/Twin_of_Pangaea/,Where the Moon Came From
10204,10/05/2011,,0,2686,,WHNZ:31:TIWIB,5,Album,http://freemusicarchive.org/music/Francesco_Paolo_Addati__Efisio_Nicol_Sabiucciu/WHNZ31TIWIB/,Francesco Paolo Addati & Efisio Nicolò Sabiucciu
10205,10/05/2011,,0,3092,,Geeks and Parasites,6,Album,http://freemusicarchive.org/music/Kingstux/Geeks_and_Parasites/,Kingstux
10207,,,0,32885,,Ulqutushuy3,15,Album,http://freemusicarchive.org/music/varios_artistas/Ulqutushuy3/,varios artistas
10208,10/05/2011,,2,4726,,Club Dirt,10,Album,http://freemusicarchive.org/music/Female/Club_Dirt/,Phemale
10210,,,1,494,,Refried Dreams,2,Album,http://freemusicarchive.org/music/Cheater_Slicks/none_given_1758/,Cheater Slicks
10211,,,0,923,,Our Food Is Chaos,1,Album,http://freemusicarchive.org/music/Cheater_Slicks/Skidmarks/,Cheater Slicks
10212,,,1,1237,,Walk Into the Sea,1,Album,http://freemusicarchive.org/music/Cheater_Slicks/Walk_Into_the_Sea/,Cheater Slicks
10213,,,1,3172,,September 2011,10,Album,http://freemusicarchive.org/music/Clinical_Archives_Mix/September_2011/,Clinical Archives Mix
10214,,,1,541,,Andrew Cyrille & Richard Teitelbaum,1,Album,http://freemusicarchive.org/music/Andrew_Cyrille__Richard_Teitelbaum/Andrew_Cyrille__Richard_Teitelbaum/,Andrew Cyrille & Richard Teitelbaum
10215,10/07/2011,,1,8328,,Heavy Mandolin,10,Album,http://freemusicarchive.org/music/Ryan_Hardy/Heavy_Mandolin/,Ryan Hardy
10216,10/03/2011,,0,1448,,Bad Panda #102,1,Album,http://freemusicarchive.org/music/Le_Chevalier/Bad_Panda_102/,Le Chevalier
10217,6/21/2011,,20,146798,,Shangri-La (Instrumentals),10,Album,http://freemusicarchive.org/music/YACHT/Shangri-La_Instrumentals/,YACHT
10219,,,2,24343,,Cosmic Conspiracy,6,Album,http://freemusicarchive.org/music/Starseed/Cosmic_Conspiracy/,Starseed
1022,7/19/2005,Gil Shuster,3,7486,Brian Turner,Live at WFMU on Brian Turner's Show on 7/19/2005,8,Radio Program,http://freemusicarchive.org/music/Afrirampo/Live_at_WFMU_on_Brian_Turners_Show_on_7192005/,Afrirampo
10220,3/04/2009,,0,6158,,Межгалактическaя Прогулка,9,Album,http://freemusicarchive.org/music/__1242/a__1695/,Тиаз Ич
10222,,,0,419,,Live at Cafe OTO,1,Live Performance,http://freemusicarchive.org/music/Steve_Noble__Frode_Gjerstad/Live_at_Cafe_OTO_1803/,Steve Noble & Frode Gjerstad
10223,10/10/2011,,1,5870,,Trick Or Treat,2,Album,http://freemusicarchive.org/music/Lee_Rosevere/Trick_Or_Treat/,Lee Rosevere
10224,,,0,18398,,songs from the sewer,7,Album,http://freemusicarchive.org/music/cloud_mouth/songs_from_the_sewer/,cloud mouth
10225,,,1,37614,,lambs quarters,4,Album,http://freemusicarchive.org/music/cloud_mouth/lambs_quarters/,cloud mouth
10226,,,0,75569,,Noisewaves,6,Album,http://freemusicarchive.org/music/Noisewaves/Noisewaves/,Noisewaves
10227,5/07/2011,,0,657,,"Live at Feeding Tube Records May 7, 2011",1,Album,http://freemusicarchive.org/music/Prana-Bindu/Live_at_Feeding_at_Feeding_Tube_Records_May_7_2011/,Prana-Bindu
10228,10/10/2011,,2,20507,,Bad Panda #103,4,Album,http://freemusicarchive.org/music/Monday_Night_Fever/Bad_Panda_103/,Monday Night Fever
